255;21;17435.75908605753;1.0
255;28;12690.402477287702;0.1
255;21;15734.080739158067;0.7
255;25;13588.59075436099;0.3
255;21;16813.772146166324;1.0
255;23;12634.976655475106;0.3
255;30;13693.851038056257;0.1
255;21;14205.244525971926;0.7
255;27;12694.036219215119;0.2
255;21;14791.891609155708;0.8
255;21;17108.774711667826;0.9
255;22;13583.13838031164;0.4
255;33;14475.316427022692;0.0
255;29;14385.681018960662;0.1
255;21;15446.19686903978;0.9
255;30;13237.376793595888;0.1
255;27;13687.73407080952;0.2
255;26;12823.37078059053;0.2
255;29;14434.762345669566;0.1
255;21;16486.170443139497;0.8
255;22;13678.17547508415;0.4
255;33;14240.810454537364;0.0
255;22;12532.147434072502;0.4
255;22;13515.823965213265;0.5
255;21;14870.66688468422;0.8
255;28;14405.811675438898;0.1
256;33;15671.09316026046;0.0
255;30;14083.175261425129;0.1
